Extractor,PMID,Title,Year,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),18717680,Fractionated 5-aminolaevulinic acid-photodynamic therapy vs. surgical excision in the treatment of nodular basal cell carcinoma: results of a randomized controlled trial.,2008,"Mosterd K., Thissen MR., Nelemans P., Kelleners-Smeets NW., Janssen RL., Broekhof KG., Neumann HA., Steijlen PM., Kuijpers DI.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vlangber (Valerie Langberg),21242584,Comparison of imiquimod 5% cream versus radiotherapy as treatment for eyelid basal cell carcinoma.,2011,"Garcia-Martin E., Gil-Arribas LM., Idoipe M., Alfaro J., Pueyo V., Pablo LE., Fernandez FJ.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vlangber (Valerie Langberg),17610993,"A phase III, randomized, open label study to evaluate the safety and efficacy of imiquimod 5% cream applied thrice weekly for 8 and 12 weeks in the treatment of low-risk nodular basal cell carcinoma.",2007,"Eigentler TK., Kamin A., Weide BM., Breuninger H., Caroli UM., Möhrle M., Radny P., Garbe C.",,,,,,,,,,,,,,,,,,,,,,,,,,,
amdrucker (Aaron Drucker),1430394,The effect of intralesional 5-Fluorouracil Therapeutic Implant (MPI 5003) for treatment of basal cell carcinoma,1992,Orenberg EK et al,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),22385074,Imiquimod 5% cream as pretreatment of Mohs micrographic surgery for nodular basal cell carcinoma in the face: a prospective randomized controlled study.,2012,"van der Geer S., Martens J., van Roij J., Brand E., Ostertag JU., Verhaegh ME., Neumann HA., Krekels GA.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),9218740,Basal cell carcinoma of the face: surgery or radiotherapy? Results of a randomized study.,1997,"Avril MF., Auperin A., Margulis A., Gerbaulet A., Duvillard P., Benhamou E., Guillaume JC., Chalon R., Petit JY., Sancho-Garnier H., Prade M., Bouzy J., Chassagne D.",,,,,,,,,,,,,,,,,,,,,,,,,,,
agazula (Abhilash Gazula),8996264,Nonsurgical treatment of basal cell carcinomas with intralesional 5-fluorouracil/epinephrine injectable gel.,1997,"Miller BH., Shavin JS., Cognetta A., Taylor RJ., Salasche S., Korey A., Orenberg EK.",,,,,,,,,,,,,,,,,,,,,,,,,,,
bryantadmin (Bryant Smith),298425,Cryotherapy of basal cell lesions.,1979,"Allen ED., McGill JI., Hall VL., Bodkin RE., Macdonald H., Buchanan RB., White JE., Leppard BJ., Goodwin PS., Fraser J.",,,,,,,,,,,,,,,,,,,,,,,,,,,
gpadam (Gaelen Adam),2107219,The effect of intralesional interferon gamma on basal cell carcinomas.,1990,"Edwards L., Whiting D., Rogers D., Luck K., Smiles KA.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vlangber (Valerie Langberg),2229497,Intralesional interferon therapy for basal cell carcinoma.,1990,"Cornell RC., Greenway HT., Tucker SB., Edwards L., Ashworth S., Vance JC., Tanner DJ., Taylor EL., Smiles KA., Peets EA.",,,,,,,,,,,,,,,,,,,,,,,,,,,
